CustomerID,CustomerName,JoinDate,Segment,AcquisitionChannel,Region,IsActive,ChurnDate,AnnualValue
C0001,Oliver Robinson,2021-07-26,Consumer,Direct,London,False,2022-04-05,2398.65
C0002,Thomas Green,2022-09-14,SMB,Online,London,True,,44772.01
C0003,Moore Holdings,2022-05-13,Enterprise,Referral,London,True,,140558.9
C0004,Sophie Moore,2021-08-05,Consumer,Online,Scotland,True,,3098.08
C0005,Young Holdings,2021-11-26,Enterprise,Direct,London,True,,74398.11
C0006,Jack Jackson,2021-05-17,Consumer,Online,Scotland,True,,1714.77
C0007,Lucy Robinson,2022-12-22,Consumer,Direct,London,True,,4443.65
C0008,Thomas Wright,2022-07-01,Consumer,Referral,Scotland,True,,3130.64
C0009,Samuel Miller,2023-03-03,SMB,Direct,Scotland,True,,41683.17
C0010,Lewis Corp,2021-12-15,Enterprise,Referral,Scotland,True,,165289.81
C0011,Samuel Taylor,2022-08-07,SMB,Direct,London,True,,43666.77
C0012,Green Corp,2022-05-13,Enterprise,Referral,London,True,,85917.85
C0013,Emily Harris,2022-10-16,Consumer,Direct,Scotland,False,2023-08-12,4760.82
C0014,Allen Holdings,2022-09-22,Public Sector,Referral,London,True,,82572.01
C0015,Young Ltd,2022-10-09,Enterprise,Direct,London,True,,84341.27
C0016,Robinson International,2023-02-04,Public Sector,Direct,London,True,,59159.67
C0017,Emma Jackson,2021-10-14,SMB,Direct,Scotland,True,,39128.54
C0018,Williams International,2021-08-07,Enterprise,Direct,London,True,,171203.34
C0019,Hall Partners,2022-10-20,Enterprise,Online,London,True,,185366.43
C0020,Harris Solutions,2022-02-17,Enterprise,Referral,Scotland,True,,78484.68
C0021,Clark Solutions,2021-12-02,Enterprise,Online,London,True,,58531.94
C0022,Robinson Holdings,2023-02-08,Public Sector,Direct,London,True,,142164.75
C0023,Oliver Smith,2022-10-05,Consumer,Direct,London,True,,2562.28
C0024,Moore Corp,2021-05-24,Public Sector,Direct,London,True,,48929.62
C0025,Sophia Wright,2023-01-30,Consumer,Online,Scotland,True,,2989.51
C0026,Sophie Johnson,2022-06-13,Consumer,Online,London,True,,915.34
C0027,Olivia Lewis,2022-02-04,SMB,Direct,Scotland,False,2022-08-05,10386.79
C0028,Jessica Hall,2021-10-10,SMB,Partner,London,True,,11595.8
C0029,Isabella Adams,2022-11-04,Consumer,Online,London,False,2023-05-23,2355.32
C0030,Harry Hall,2023-02-24,Consumer,Referral,Scotland,True,,674.26
C0031,Jackson Holdings,2023-03-18,Enterprise,Events,London,True,,91790.46
C0032,Joseph Anderson,2022-10-02,Consumer,Referral,London,True,,1303.56
C0033,Harry Adams,2022-06-24,SMB,Direct,London,True,,33063.52
C0034,Amelia Martin,2021-12-08,Consumer,Direct,Scotland,True,,814.88
C0035,Harry King,2022-11-12,SMB,Referral,Scotland,True,,21826.21
C0036,Samuel Thomas,2021-12-14,SMB,Events,Scotland,True,,28599.53
C0037,David Scott,2021-05-08,SMB,Online,Scotland,True,,19394.74
C0038,Benjamin King,2022-01-16,Consumer,Direct,London,True,,2227.9
C0039,Green International,2022-07-24,Enterprise,Online,Scotland,True,,57532.76
C0040,Joseph Lee,2022-05-15,Consumer,Online,Scotland,True,,3256.94
C0041,Matthew Scott,2022-07-11,SMB,Partner,London,True,,30851.99
C0042,Mia Jackson,2021-10-12,SMB,Direct,London,True,,37757.99
C0043,Robinson Ltd,2022-02-28,Enterprise,Referral,London,True,,178509.8
C0044,Chloe Adams,2022-04-26,SMB,Direct,London,True,,18821.55
C0045,William Walker,2023-01-14,SMB,Direct,London,True,,31364.95
C0046,George Davis,2022-07-29,Consumer,Online,London,True,,2546.15
C0047,Johnson Holdings,2022-02-09,Public Sector,Referral,Scotland,True,,56906.66
C0048,Harris Group,2021-08-28,Public Sector,Direct,London,True,,97676.35
C0049,Charlotte Brown,2023-01-16,Consumer,Partner,London,True,,3104.08
C0050,Charlotte Hall,2022-09-26,Consumer,Events,London,True,,3579.17
C0051,James Hall,2023-02-02,Consumer,Online,London,True,,2390.26
C0052,Samuel Anderson,2022-08-23,SMB,Referral,Scotland,True,,34636.49
